نوع البطولة,الفريق الأول,الفريق الثاني,ميعاد المباراة,النتيجة
الدوري المصري,الاتحاد السكندري,زد,16:00,0 - 0
الدوري المصري,فاركو,المقاولون العرب,19:00,1 - 1
الدوري المصري,طلائع الجيش,الجونة,19:00,1 - 1
الدوري السعودي,الرياض,الحزم,17:00,0 - 0
الدوري السعودي,أبها,أهلي جدة,17:00,0 - 6
الدوري السعودي,الاتحاد,الخليج,20:00,4 - 2
الدوري الأوروبي,فرايبورج,أوليمبياكوس,19:45,5 - 0
الدوري الأوروبي,باكا توبولا,وست هام يونايتد,19:45,0 - 1
الدوري الأوروبي,سبارتا براج,ريال بيتيس,19:45,1 - 0
الدوري الأوروبي,أتالانتا,سبورتينج لشبونة,19:45,1 - 1
الدوري الأوروبي,شتورم جراتس,راكوف تشانستوخوفا,19:45,0 - 1
الدوري الأوروبي,مكابي حيفا,رين,19:45,0 - 3
الدوري الأوروبي,ايك اثينا,برايتون,19:45,0 - 1
الدوري الأوروبي,مارسيليا,أياكس امستردام,22:00,4 - 3
الدوري الأوروبي,جلاسكو رينجرز,أريس ليماسول,22:00,1 - 1
الدوري الأوروبي,ليفربول,لاسك لينز,22:00,4 - 0
الدوري الأوروبي,تولوز,سان جيلواز,22:00,0 - 0
الدوري الأوروبي,فياريال,باناثينايكوس,22:00,3 - 2
الدوري الأوروبي,سيرفيت جنيف,روما,22:00,1 - 1
الدوري الأوروبي,شيريف تيراسبول,سلافيا براج,22:00,2 - 3
الدوري الأوروبي,مولده,كاراباج اجدام,22:00,2 - 2
الدوري الأوروبي,هاكين,باير ليفركوزن,22:00,0 - 2
دوري المؤتمر الأوروبي,بريدابليك,مكابى تل ابيب,15:00,1 - 2
دوري المؤتمر الأوروبي,إف سي أستانا,دينامو زغرب,17:30,0 - 2
دوري المؤتمر الأوروبي,كي كلاكسفيك,سلوفان براتيسلافا,19:45,1 - 2
دوري المؤتمر الأوروبي,أولمبيا ليوبليانا,ليل,19:45,0 - 2
دوري المؤتمر الأوروبي,جينت,زوريا لوهانشك,19:45,4 - 1
دوري المؤتمر الأوروبي,بالكاني,فيكتوريا بلزن,19:45,0 - 1
دوري المؤتمر الأوروبي,بشكتاش,كلوب بروج,19:45,0 - 5
دوري المؤتمر الأوروبي,جليمت,لوجانو,19:45,5 - 2
دوري المؤتمر الأوروبي,الكمار,زرينيسكي موستا,19:45,1 - 0
دوري المؤتمر الأوروبي,هلسنكي,أبيردين,19:45,2 - 2
دوري المؤتمر الأوروبي,استون فيلا,ليجيا وارسو,22:00,2 - 1
دوري المؤتمر الأوروبي,تشوكاريتشكي ستانكوم,فيرينكفاروسي,22:00,1 - 2
دوري المؤتمر الأوروبي,فيورنتينا,جينك,22:00,2 - 1
دوري المؤتمر الأوروبي,آ. فرانكفورت,باوك سالونيكا,22:00,1 - 2
دوري المؤتمر الأوروبي,نورشيلاند,فنربخشة,22:00,6 - 1
دوري المؤتمر الأوروبي,ترنافا,لودوجوريتس,22:00,1 - 2
دوري القسم الثاني-أ,وادي دجلة,دكرنس,14:30,3 - 1
